run,label,frame,reward,smoothed_reward
rlgames-lstm-sapg-seed0,rl_games LSTM,3145728,218.89788818359375,211.21196723706794
rlgames-lstm-sapg-seed0,rl_games LSTM,3244032,218.89788818359375,211.43802373549516
rlgames-lstm-sapg-seed0,rl_games LSTM,3342336,127.5362319946289,209.04082968575614
rlgames-lstm-sapg-seed0,rl_games LSTM,3440640,107.19354248046875,206.21173837449817
rlgames-lstm-sapg-seed0,rl_games LSTM,3538944,107.19354248046875,203.53557091790276
rlgames-lstm-sapg-seed0,rl_games LSTM,3637248,15.676732063293457,198.5919172638341
rlgames-lstm-sapg-seed0,rl_games LSTM,3735552,15.686180114746094,193.90202656770364
rlgames-lstm-sapg-seed0,rl_games LSTM,3833856,15.725976943969727,189.4476253271103
rlgames-lstm-sapg-seed0,rl_games LSTM,3932160,15.725976943969727,185.21051195191174
rlgames-lstm-sapg-seed0,rl_games LSTM,4030464,15.725976943969727,181.17516588029406
rlgames-lstm-sapg-seed0,rl_games LSTM,4128768,15.725976943969727,177.32751032363538
rlgames-lstm-sapg-seed0,rl_games LSTM,4227072,15.725976943969727,173.65474820137024
rlgames-lstm-sapg-seed0,rl_games LSTM,4325376,15.725976943969727,170.14521995120577
rlgames-lstm-sapg-seed0,rl_games LSTM,4423680,15.725976943969727,166.7882798858311
rlgames-lstm-sapg-seed0,rl_games LSTM,4521984,15.725976943969727,163.57418833387658
rlgames-lstm-sapg-seed0,rl_games LSTM,4620288,15.725976943969727,160.49401726325354
rlgames-lstm-sapg-seed0,rl_games LSTM,4718592,15.725976943969727,157.53956746081917
rlgames-lstm-sapg-seed0,rl_games LSTM,4816896,15.725976943969727,154.70329565048218
rlgames-lstm-sapg-seed0,rl_games LSTM,4915200,15.725976943969727,151.9782501856486
rlgames-lstm-sapg-seed0,rl_games LSTM,5013504,15.725976943969727,149.35801416177017
rlgames-lstm-sapg-seed0,rl_games LSTM,5111808,15.725976943969727,146.83665496898146
rlgames-lstm-sapg-seed0,rl_games LSTM,5210112,15.725976943969727,144.40867944999977
rlgames-lstm-sapg-seed0,rl_games LSTM,5308416,15.725976943969727,142.06899394989014
rlgames-lstm-sapg-seed0,rl_games LSTM,5406720,15.725976943969727,139.812868646213
rlgames-lstm-sapg-seed0,rl_games LSTM,5505024,15.725976943969727,137.63590563389292
rlgames-lstm-sapg-seed0,rl_games LSTM,5603328,15.725976943969727,135.53401031165288
rlgames-lstm-sapg-seed0,rl_games LSTM,5701632,15.725976943969727,133.50336567830232
rlgames-lstm-sapg-seed0,rl_games LSTM,5799936,15.725976943969727,131.54040919939678
rlgames-lstm-sapg-seed0,rl_games LSTM,5898240,15.725976943969727,129.6418119493078
rlgames-lstm-sapg-seed0,rl_games LSTM,5996544,15.725976943969727,127.80445977180234
rlgames-lstm-sapg-seed0,rl_games LSTM,6094848,15.725976943969727,126.02543623485262
rlgames-lstm-sapg-seed0,rl_games LSTM,6193152,15.725976943969727,124.30200718343258
rlgames-lstm-sapg-seed0,rl_games LSTM,6291456,15.725976943969727,122.63160671821008
rlgames-lstm-sapg-seed0,rl_games LSTM,6389760,15.725976943969727,121.0118244489034
rlgames-lstm-sapg-seed0,rl_games LSTM,6488064,15.725976943969727,119.44039388912827
rlgames-lstm-sapg-seed0,rl_games LSTM,6586368,15.725976943969727,117.91518187522888
rlgames-lstm-sapg-seed0,rl_games LSTM,6684672,15.725976943969727,116.43417890521063
rlgames-lstm-sapg-seed0,rl_games LSTM,6782976,15.725976943969727,114.99549030576433
rlgames-lstm-sapg-seed0,rl_games LSTM,6881280,15.725976943969727,113.59732814573906
rlgames-lstm-sapg-seed0,rl_games LSTM,6979584,15.67115306854248,112.237242380778
rlgames-lstm-sapg-seed0,rl_games LSTM,7077888,16.169597625732422,110.92124724714724
rlgames-lstm-sapg-seed0,rl_games LSTM,7176192,16.05345344543457,109.63925003361058
rlgames-lstm-sapg-seed0,rl_games LSTM,7274496,-8.587797164916992,108.06288940429687
rlgames-lstm-sapg-seed0,rl_games LSTM,7372800,-8.606101036071777,106.52777110902886
rlgames-lstm-sapg-seed0,rl_games LSTM,7471104,-8.17216968536377,105.03816148832247
rlgames-lstm-sapg-seed0,rl_games LSTM,7569408,-8.18490982055664,103.58658365102914
rlgames-lstm-sapg-seed0,rl_games LSTM,7667712,-8.18490982055664,102.17175461974325
rlgames-lstm-sapg-seed0,rl_games LSTM,7766016,-8.18490982055664,100.79229631423951
rlgames-lstm-sapg-seed0,rl_games LSTM,7864320,-8.18490982055664,99.44689870763708
rlgames-lstm-sapg-seed0,rl_games LSTM,7962624,-8.18490982055664,98.13431567680544
rlgames-lstm-sapg-seed0,rl_games LSTM,8060928,-8.18490982055664,96.85336115274085
rlgames-lstm-sapg-seed0,rl_games LSTM,8159232,-8.18490982055664,95.60290554591587
rlgames-lstm-sapg-seed0,rl_games LSTM,8257536,-8.18490982055664,94.38187242395738
rlgames-lstm-sapg-seed0,rl_games LSTM,8355840,-8.18490982055664,93.18923542111419
rlgames-lstm-sapg-seed0,rl_games LSTM,8454144,-8.18490982055664,92.02401536086509
rlgames-lstm-sapg-seed0,rl_games LSTM,8552448,-8.18490982055664,90.88527757471257
rlgames-lstm-sapg-seed0,rl_games LSTM,8650752,-8.18490982055664,89.77212940173203
rlgames-lstm-sapg-seed0,rl_games LSTM,8749056,-8.18490982055664,88.68371785481771
rlgames-lstm-sapg-seed0,rl_games LSTM,8847360,-8.18490982055664,87.6192274408026
rlgames-lstm-sapg-seed0,rl_games LSTM,8945664,-8.18490982055664,86.57787812274435
rlgames-lstm-sapg-seed0,rl_games LSTM,9043968,-8.174633979797363,85.55903390658798
rlgames-lstm-sapg-seed0,rl_games LSTM,9142272,-8.174633979797363,84.5618672269456
rlgames-lstm-sapg-seed0,rl_games LSTM,9240576,-8.174633979797363,83.58569353003251
rlgames-lstm-sapg-seed0,rl_games LSTM,9338880,-8.174633979797363,82.62985678513844
rlgames-lstm-sapg-seed0,rl_games LSTM,9437184,-8.123811721801758,81.69425195516999
rlgames-lstm-sapg-seed0,rl_games LSTM,9535488,-8.123811721801758,80.77774110132334
rlgames-lstm-sapg-seed0,rl_games LSTM,9633792,-8.123811721801758,79.87974561826147
rlgames-lstm-sapg-seed0,rl_games LSTM,9732096,-8.129507064819336,78.99965309143066
rlgames-lstm-sapg-seed0,rl_games LSTM,9830400,-8.129507064819336,78.13698813938859
rlgames-lstm-sapg-seed0,rl_games LSTM,9928704,-8.129507064819336,77.29123818640615
rlgames-lstm-sapg-seed0,rl_games LSTM,10027008,-8.128396987915039,76.46192134005352
rlgames-lstm-sapg-seed0,rl_games LSTM,10125312,-8.08091926574707,75.6490094111516
rlgames-lstm-sapg-seed0,rl_games LSTM,10223616,-8.08091926574707,74.85158151899066
rlgames-lstm-sapg-seed0,rl_games LSTM,10321920,-8.004591941833496,74.0699195052093
rlgames-lstm-sapg-seed0,rl_games LSTM,10420224,-8.004591941833496,73.30286799635843
rlgames-lstm-sapg-seed0,rl_games LSTM,10518528,-8.004591941833496,72.55002114507887
rlgames-lstm-sapg-seed0,rl_games LSTM,10616832,-7.943212032318115,71.81155111592844
rlgames-lstm-sapg-seed0,rl_games LSTM,10715136,-7.893637657165527,71.0869584907185
rlgames-lstm-sapg-seed0,rl_games LSTM,10813440,-7.836738109588623,70.37593419702203
rlgames-lstm-sapg-seed0,rl_games LSTM,10911744,-7.828674793243408,69.67767875960895
rlgames-lstm-sapg-seed0,rl_games LSTM,11010048,-3.318174362182617,69.03169775853115
rlgames-lstm-sapg-seed0,rl_games LSTM,11108352,-3.3122570514678955,68.3971016637066
rlgames-lstm-sapg-seed0,rl_games LSTM,11206656,-3.1845595836639404,67.7746524354686
rlgames-lstm-sapg-seed0,rl_games LSTM,11304960,-3.1845595836639404,67.16293509047607
rlgames-lstm-sapg-seed0,rl_games LSTM,11403264,-3.1845595836639404,66.56167445223555
rlgames-lstm-sapg-seed0,rl_games LSTM,11501568,-3.1845595836639404,65.97060467227031
rlgames-lstm-sapg-seed0,rl_games LSTM,11599872,-3.1845595836639404,65.38946883818683
rlgames-lstm-sapg-seed0,rl_games LSTM,11698176,-3.1845595836639404,64.81801860133807
rlgames-lstm-sapg-seed0,rl_games LSTM,11796480,-3.1845595836639404,64.25601382294963
rlgames-lstm-sapg-seed0,rl_games LSTM,11894784,-3.1845595836639404,63.70322223764951
rlgames-lstm-sapg-seed0,rl_games LSTM,11993088,-3.1845595836639404,63.15941913341119
rlgames-lstm-sapg-seed0,rl_games LSTM,12091392,-3.1646482944488525,62.62454762189619
rlgames-lstm-sapg-seed0,rl_games LSTM,12189696,-3.02449107170105,62.09935531234741
rlgames-lstm-sapg-seed0,rl_games LSTM,12288000,-3.02449107170105,61.58249938866449
rlgames-lstm-sapg-seed0,rl_games LSTM,12386304,-3.0104169845581055,61.07389374793045
rlgames-lstm-sapg-seed0,rl_games LSTM,12484608,-2.9748528003692627,60.57351291552186
rlgames-lstm-sapg-seed0,rl_games LSTM,12582912,-2.962326765060425,60.0809870265251
rlgames-lstm-sapg-seed0,rl_games LSTM,12681216,-2.7925331592559814,59.59734456355755
rlgames-lstm-sapg-seed0,rl_games LSTM,12779520,-2.734996795654297,59.12152516386891
rlgames-lstm-sapg-seed0,rl_games LSTM,12877824,-2.652174234390259,58.65354259266998
rlgames-lstm-sapg-seed0,rl_games LSTM,12976128,-2.58388090133667,58.19311083707594
rlgames-lstm-sapg-seed0,rl_games LSTM,13074432,-2.532586097717285,57.73993399427898
rlgames-lstm-sapg-seed0,rl_games LSTM,13172736,-2.3901472091674805,57.29452598536456
rlgames-lstm-sapg-seed0,rl_games LSTM,13271040,-2.2653896808624268,56.856585428995245
rlgames-lstm-sapg-seed0,rl_games LSTM,13369344,-2.1036713123321533,56.426218591467304
rlgames-lstm-sapg-seed0,rl_games LSTM,13467648,-2.050245761871338,56.00247609615326
rlgames-lstm-sapg-seed0,rl_games LSTM,13565952,-1.8886795043945312,55.58599296233637
rlgames-lstm-sapg-seed0,rl_games LSTM,13664256,-1.7662250995635986,55.176334261894226
rlgames-lstm-sapg-seed0,rl_games LSTM,13762560,-1.6534327268600464,54.77328626906618
rlgames-lstm-sapg-seed0,rl_games LSTM,13860864,-1.5355192422866821,54.37674538518341
rlgames-lstm-sapg-seed0,rl_games LSTM,13959168,-1.435815691947937,53.9864477552734
rlgames-lstm-sapg-seed0,rl_games LSTM,14057472,-1.3154957294464111,53.60240648107396
rlgames-lstm-sapg-seed0,rl_games LSTM,14155776,-1.1806613206863403,53.224592220372166
rlgames-lstm-sapg-seed0,rl_games LSTM,14254080,-1.105205774307251,52.85247031629902
rlgames-lstm-sapg-seed0,rl_games LSTM,14352384,-1.0205004215240479,52.48598752216417
rlgames-lstm-sapg-seed0,rl_games LSTM,14450688,-0.9401014447212219,52.12500043455008
rlgames-lstm-sapg-seed0,rl_games LSTM,14548992,-0.8934544324874878,51.76917187839546
rlgames-lstm-sapg-seed0,rl_games LSTM,14647296,0.04205206409096718,51.42432441296677
rlgames-lstm-sapg-seed0,rl_games LSTM,14745600,0.06282922625541687,51.08418206073689
rlgames-lstm-sapg-seed0,rl_games LSTM,14843904,0.0717361643910408,50.74857386405041
